SITE_ID,SITE_NAME,COUNTRY,LOCATION_LAT,LOCATION_LONG
US-IB1,Fermi National Accelerator Laboratory- Batavia (Agricultural site),USA,41.8593,-88.2227
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),USA,41.8406,-88.2410
US-ICH,Imnavait Creek Watershed Heath Tundra,USA,68.6068,-149.2958
US-ICS,Imnavait Creek Watershed Wet Sedge Tundra,USA,68.6058,-149.3110
US-ICT,Imnavait Creek Watershed Tussock Tundra,USA,68.6063,-149.3041
US-IL1,Paspalum notatum long rotational grazing,USA,27.1879,-81.1996
US-INA,INFLUX - Cemetery Turfgrass Tower,USA,39.8273,-86.1790
US-INB,INFLUX - Golf Course,USA,39.8706,-86.0024
US-INC,INFLUX - Downtown Indianapolis (Site-3),USA,39.7833,-86.1652
US-IND,INFLUX - Agricultural Site East near Pittsboro,USA,39.8645,-86.5005
US-INE,INFLUX - Agricultural Site West near Pittsboro,USA,39.8632,-86.5083
US-INF,INFLUX - East 21st St (Site 2),USA,39.7978,-86.0183
US-ING,INFLUX - Wayne Twp Comm (Site-7),USA,39.7739,-86.2724
US-INI,INFLUX - Agricultural Site East of Indianapolis (Site-9a),USA,39.8167,-85.7005
US-INJ,INFLUX - Agricultural Site East of Indianapolis (Site-9b),USA,39.8766,-85.7066
US-INN,INFLUX - Agricultural Site West of Indianapolis (Site-14a),USA,39.9468,-86.7880
US-INP,INFLUX - Agricultural Site West of Indianapolis (Site-14b),USA,39.9477,-86.7821
US-IS1,Illinois SmartFarm - Pesotum Eddy Covariance Site,USA,39.8900,-88.2100
US-IS2,Illinois SmartFarm - Villa Grove Eddy Covariance Site,USA,39.8800,-88.1500
US-IS3,Illinois SmartFarm - Bondville Eddy Covariance Site,USA,40.0100,-88.2900
US-IVO,Ivotuk,USA,68.4865,-155.7503
US-JFM,"Mitchell Creek: Jackson Demonstration State Forest, Intermediate Second-Growth Redwood",USA,39.3757,-123.7520
US-JFP,"South Parlin: Jackson Demonstration State Forest, Young Second-Growth Redwood",USA,39.3616,-123.6562
US-JLN,Jackson Lane - natural,USA,39.0574,-75.7531
US-JLR,Jackson Lane - restored,USA,39.0543,-75.7531
US-JO1,Jornada Experimental Range Bajada Site,USA,32.5820,-106.6350
US-JO2,Jornada Experimental Range Mixed Shrubland,USA,32.5849,-106.6032
US-JO3,Jornada Experimental Range Red Lake Playa,USA,32.7123,-106.8303
US-JRN,WV Jacks Run,USA,39.6789,-80.1646
US-JXG,Jornada Experimental Range Historic Grassland,USA,32.5833,-106.8333
US-JXN,Jornada Experimental Range Novel Grassy Shrubland,USA,32.6335,-106.8334
US-JXS,Jornada Experimental Range Shrubland,USA,32.6502,-106.8334
US-KCM,KCMP Tall Tower,USA,44.6886,-93.0728
US-KEY,ARPAE-SMARTFARM-OK-Sorghum,USA,36.9050,-102.0230
US-KFB,Konza Prairie LTER (4B),USA,39.0745,-96.5951
US-KFS,Kansas Field Station,USA,39.0561,-95.1907
US-KGF,Kingman Farm,USA,43.1717,-70.9259
US-KL1,KBS Lux Arbor Reserve Corn,USA,42.4847,-85.4422
US-KL2,KBS Lux Arbor Reserve Switchgrass,USA,42.4768,-85.4468
US-KL3,KBS Lux Arbor Reserve Prairie,USA,42.4735,-85.4473
US-KLS,Kansas Land Institute,USA,38.7745,-97.5684
US-KM1,KBS Marshall Farms Corn,USA,42.4376,-85.3287
US-KM2,KBS Marshall Farms Prairie,USA,42.4441,-85.3098
US-KM3,KBS Marshall Farms Switchgrass,USA,42.4464,-85.3105
US-KM4,KBS Marshall Farms Smooth Brome Grass (Ref),USA,42.4423,-85.3301
US-KON,Konza Prairie LTER (KNZ),USA,39.0824,-96.5603
US-KPL,Lily Lake Fen,USA,60.5382,-150.5061
US-KS1,Kennedy Space Center (slash pine),USA,28.4583,-80.6709
US-KS2,Kennedy Space Center (scrub oak),USA,28.6086,-80.6715
US-KS3,Kennedy Space Center (salt marsh),USA,28.7084,-80.7427
US-KS4,Kennedy Space Center (Spartina marsh),USA,28.6000,-80.7207
US-KSA,Kegonsa Solar Array,USA,42.9572,-89.2924
US-KSC,Kegonsa Solar - Control,USA,42.9596,-89.2923
US-KSP,Kegonsa Solar - Pretreatment,USA,42.9572,-89.2924
US-KUO,KUOM tower,USA,44.9984,-93.1884
US-KUT,KUOM Turfgrass Field,USA,44.9950,-93.1863
US-KYV,Apple Orchard ARS Kearneysville WV,USA,39.3447,-77.8859
US-LA1,Pointe-aux-Chenes Brackish Marsh,USA,29.5013,-90.4449
US-LA2,Salvador WMA Freshwater Marsh,USA,29.8587,-90.2869
US-LA3,Barataria Bay Saline Marsh,USA,29.4936,-89.9153
US-LCW,Los Cerritos Wetland,USA,33.7522,-118.0971
US-LGR,Lockney Grassland,USA,34.1377,-101.4787
US-LIN,Lindcove Orange Orchard,USA,36.3566,-119.0922
US-LL1,Longleaf Pine - Baker (Mesic site),USA,31.2792,-84.5329
US-LL2,Longleaf Pine - Dubignion (Intermediate site),USA,31.2010,-84.4449
US-LL3,Longleaf Pine - Red Dirt (Xeric site),USA,31.2688,-84.4787
US-LMA,Mississippi ARS Arant ASP,USA,33.7275,-90.4850
US-LMB,Mississippi ARS Arant Bau,USA,33.7283,-90.4730
US-LMS,LMRB LTAR Schmidt Farm,USA,34.1431,-90.6591
US-LMW,Mississippi ARS Watts,USA,34.1536,-90.6486
US-LOS,Lost Creek,USA,46.0827,-89.9792
US-LPH,Little Prospect Hill,USA,42.5419,-72.1850
US-LS1,San Pedro River Lewis Springs Sacaton Grassland,USA,31.5615,-110.1403
US-LS2,San Pedro River Lewis Springs Savanna,USA,31.5659,-110.1344
US-LU1,Missouri-Moreau River Basin USDA Certified Organic Farm,USA,38.5048,-92.2487
US-LWW,Little Washita Watershed,USA,34.9604,-97.9789
US-MAC,MacArthur Agro-Ecology,USA,27.1632,-81.1873
US-MBP,Marcell Bog Lake Peatland,USA,47.5051,-93.4893
US-MC1,"Creston, Montana pivot-irrigated spring wheat",USA,48.1873,-114.1548
US-MC2,"Creston, Montana pivot-irrigated spring wheat 2",USA,48.1802,-114.2051
US-MCP,"Moro Cojo Slough, PG&E Treatment Wetland",USA,36.7830,-121.7690
US-ME1,Metolius - Eyerly burn,USA,44.5794,-121.5000
US-ME2,Metolius mature ponderosa pine,USA,44.4526,-121.5589
US-ME3,Metolius-second young aged pine,USA,44.3154,-121.6078
US-ME4,Metolius-old aged ponderosa pine,USA,44.4992,-121.6224
US-ME5,Metolius-first young aged pine,USA,44.4372,-121.5668
US-ME6,Metolius Young Pine Burn,USA,44.3233,-121.6078
US-ME7,Metolius Low Burn Severity Subcanopy,USA,44.4534,-121.5619
US-MEF,Manitou Experimental Forest,USA,39.1006,-105.1024
US-MEN,"Lake Mendota, Center for Limnology Site",USA,43.0772,-89.4030
US-MFS,Moore Fields,USA,43.1385,-70.9610
US-MG1,MPG Ranch Rangeland Restoration,USA,46.6996,-114.0353
US-MH1,"Huntley, Montana irrigated barley site 1",USA,45.9206,-108.2414
US-MH2,"Huntley, Montana irrigated barley site 2",USA,45.9699,-108.1978
US-MI1,LTAR UCB (Upper Chesapeake Bay) Miscanthus 1,USA,41.7727,-80.6313
US-MI2,LTAR UCB (Upper Chesapeake Bay) Miscanthus 2,USA,41.5479,-80.8550
US-MI3,LTAR UCB (Upper Chesapeake Bay) Miscanthus 3,USA,41.8222,-80.6370
US-MJ1,Montana Judith Basin wheat field,USA,46.9948,-109.6137
US-MJ2,Montana Judith Basin summer fallow field,USA,46.9957,-109.6295
US-MKG,Maggie Creek Fall Grazed,USA,40.9452,-116.1701
US-MKH,Maggie Creek Hay Meadow,USA,40.9882,-116.1633
US-MKN,Maggie Creek Non-grazed,USA,40.8941,-116.1800
US-MMS,Morgan Monroe State Forest,USA,39.3232,-86.4131
US-MN1,"Morris: Corn-Soybean with Cover Crops, Strip Tillage",USA,45.6168,-96.1269
US-MN2,"Morris: Corn-Soybean-Wheat with Cover Crops, Minimal Tillage",USA,45.6270,-96.1271
US-MN3,"Morris: Corn-Soybean, Conventional Tillage",USA,45.6091,-96.1265
US-MO1,LTAR CMRB Field 1 (CMRB ASP),USA,39.2298,-92.1167
US-MO2,LTAR CMRB Tucker Prairie (CMRB TP),USA,38.9488,-91.9945
US-MO3,LTAR CMRB Field 3 (CMRB BAU),USA,39.2322,-92.1493
US-MOZ,Missouri Ozark Site,USA,38.7441,-92.2000
US-MPJ,Mountainair Pinyon-Juniper Woodland,USA,34.4385,-106.2377
US-MRF,Mary's River (Fir) site,USA,44.6465,-123.5515
US-MRM,Marsh Resource Meadowlands Mitigation Bank,USA,40.8164,-74.0435
US-MSR,Montana Sun River winter wheat,USA,47.4758,-111.7207
US-MTB,Mt Bigelow,USA,32.4160,-110.7256
US-MUR,Murphy's Pond,USA,36.7436,-88.8545
US-MVF,Montana Vaughn Fallow,USA,47.6867,-111.4659
US-MVW,Montana Vaughn Wheat,USA,47.6729,-111.4889
US-MWA,Jackson Agricultural Field,USA,42.2143,-84.8539
US-MWF,Kellogg Experimental Forest,USA,42.3660,-85.3526
US-MWS,Michigan State University Campus Site - Spartans,USA,42.7293,-84.4737
US-MWU,Battle Creek Area Mathematics and Science Center,USA,42.3228,-85.1871
US-MWW,Allegan Wetland,USA,42.6689,-86.0229
US-MYB,Mayberry Wetland,USA,38.0499,-121.7650
US-MZA,"Hidden Marsh, Montezuma NWR",USA,43.0441,-76.7897
US-NC1,NC_Clearcut,USA,35.8118,-76.7119
US-NC2,NC_Loblolly Plantation,USA,35.8030,-76.6685
US-NC3,NC_Clearcut#3,USA,35.7990,-76.6560
US-NC4,NC_AlligatorRiver,USA,35.7879,-75.9038
US-NC5,NC Butner Farm,USA,36.1565,-78.7878
US-NE1,Mead - irrigated continuous maize site,USA,41.1651,-96.4766
US-NE2,Mead - irrigated maize-soybean rotation site,USA,41.1649,-96.4701
US-NE3,Mead - rainfed maize-soybean rotation site,USA,41.1797,-96.4397
US-NGB,NGEE Arctic Barrow,USA,71.2800,-156.6092
US-NGC,NGEE Arctic Council,USA,64.8618,-163.7002
US-NMJ,Northern Michigan Jack Pine Stand,USA,46.6465,-88.5194
US-NP1,Business-As-Usual Management (mandanh5),USA,46.7756,-100.9510
US-NP2,ASPirational Management (mandani2),USA,46.7613,-100.9257
US-NR1,Niwot Ridge Forest (LTER NWT1),USA,40.0329,-105.5464
US-NR2,Niwot Ridge Forest (USGS site),USA,40.0325,-105.5469
US-NR3,Niwot Ridge Alpine (T-Van West),USA,40.0520,-105.5864
US-NR4,Niwot Ridge Alpine (T-Van East),USA,40.0520,-105.5859
US-NRF,Nisqually reference,USA,47.0935,-122.6927
US-NRS,Nisqually restoring,USA,47.0936,-122.7079
US-NSA,NASA HAQ - SJV East Irrigated Vineyard,USA,36.6029,-119.5061
US-NSB,NASA HAQ - SJV West Irrigated Cotton,USA,36.3354,-120.1183
US-NSW,Newman Seasonal Wetlands,USA,37.3091,-121.0042
US-OF1,Osceola Farm Rice Field - SW,USA,35.7371,-90.0492
US-OF2,Osceola Farm Rice Field - NW,USA,35.7406,-90.0489
US-OHO,Oak Openings,USA,41.5545,-83.8438
US-OK1,ECB: Site A1 - North Field,USA,41.5348,-84.8068
US-OK2,ECB: Site A3 - South Field,USA,41.7660,-111.8550
US-ONA,Florida pine flatwoods,USA,27.3836,-81.9509
US-OPE,Optimizing Production Inputs for Economic and Environmental Enhancement (OPE3),USA,39.0293,-76.8457
US-ORV,Olentangy River Wetland Research Park,USA,40.0201,-83.0183
US-OWC,Old Woman Creek,USA,41.3795,-82.5125
US-PAS,"Florida, Paspalum notatum pasture",USA,27.3944,-81.9510
US-PEA,5R Pecan Farm Above Canopy,USA,31.4123,-106.0788
US-PFA,Park Falls/WLEF,USA,45.9459,-90.2723
US-PFB,NW1 Pine-1 CHEESEHEAD 2019,USA,45.9720,-90.3232
US-PFC,NW2 Aspen-1 CHEESEHEAD 2019,USA,45.9677,-90.3088
US-PFD,NW3 Tussock-1 CHEESEHEAD 2019,USA,45.9689,-90.3010
US-PFE,NW4 Lake-1 CHEESEHEAD 2019,USA,45.9793,-90.3004
US-PFF,NW5 Grass-1 CHEESEHEAD 2019,USA,45.9458,-90.2944
US-PFG,NE1 Pine-2 CHEESEHEAD 2019,USA,45.9735,-90.2723
US-PFH,NE2 Pine-3 CHEESEHEAD 2019,USA,45.9557,-90.2406
US-PFI,NE3 Hardwood-1 CHEESEHEAD 2019,USA,45.9749,-90.2327
US-PFJ,NE4 Maple-1 CHEESEHEAD 2019,USA,45.9619,-90.2270
US-PFK,SW1 Aspen-2 CHEESEHEAD 2019,USA,45.9149,-90.3425
US-PFL,SW2 Aspen-3 CHEESEHEAD 2019,USA,45.9409,-90.3177
US-PFM,SW3 Hardwood-2 CHEESEHEAD 2019,USA,45.9207,-90.3099
US-PFN,SW4 Hardwood-3 CHEESEHEAD 2019,USA,45.9392,-90.2823
US-PFO,SE1 Lake-2 CHEESEHEAD 2019,USA,45.9229,-90.2728
US-PFP,SE2 Hardwood-4 CHEESEHEAD 2019,USA,45.9365,-90.2641
US-PFQ,SE3 Aspen-4 CHEESEHEAD 2019,USA,45.9271,-90.2475
US-PFR,SE4 Tussock-2 CHEESEHEAD 2019,USA,45.9245,-90.2475
US-PFS,SE5 Aspen-5 CHEESEHEAD 2019,USA,45.9381,-90.2382
US-PFT,SE6 Pine-4 CHEESEHEAD 2019,USA,45.9197,-90.2288
US-PHM,Plum Island High Marsh,USA,42.7423,-70.8301
US-PIU,Pine Upland,USA,26.0004,-80.9261
US-PLM,Plum Island Low Marsh,USA,42.7345,-70.8382
US-PLO,Plum Island Oligohaline Marsh,USA,42.7496,-70.9157
US-PNP,"Lake Mendota, Picnic Point Site",USA,43.0896,-89.4158
US-PON,Ponca City,USA,36.7667,-97.1333
US-PRR,Poker Flat Research Range Black Spruce Forest,USA,65.1237,-147.4876
US-PSH,USSL San Joaquin Valley Pistachio High,USA,36.2347,-119.9247
US-PSL,USSL San Joaquin Valley Pistachio Low,USA,36.8276,-120.1397
US-PVA,PVAMU Research Farm,USA,30.0958,-95.9695
US-PX1,"Phoenix, Maryvale Neighborhood Site",USA,33.4839,-112.1426
US-PX2,"Phoenix, Encanto Golf Course",USA,33.4785,-112.0980
US-PX3,"Phoenix, Desert botanical garden site",USA,33.4582,-111.9428
US-PX4,"Phoenix, Encanto Vehicle Lot",USA,33.4734,-112.0985
US-PX5,ASU Polytech Center for Bio-mediated and Bio-inspired Geotechnics (CBBG) Field Lab,USA,33.3035,-111.6822
US-RC1,Cook Agronomy Farm - No Till,USA,46.7837,-117.0777
US-RC2,Cook Agronomy Farm - Conventional Till,USA,46.7776,-117.0807
US-RC3,WSU Lind Dryland Research Station,USA,46.9910,-118.5980
US-RC4,Moscow Mountain on-farm site,USA,46.7580,-116.9490
US-RC5,Moses Lake on-farm site,USA,47.0100,-119.2480
US-RFE,RockyFlats - East site,USA,39.8771,-105.1690
US-RFW,RockyFlats - West site,USA,39.8751,-105.2184
US-RGA,Arkansas Corn Farm,USA,34.4159,-91.6733
US-RGB,Butte County Rice Farm,USA,39.5782,-121.8579
US-RGF,Stanislaus County Forage Farm,USA,37.6995,-121.1369
US-RGG,Glenn County Rice Farm,USA,39.5944,-122.0253
US-RGO,Glenn County Organic Rice Farm,USA,39.6805,-122.0026
US-RGR,Arva Ryan's Field,USA,34.4346,-91.6892
US-RGW,Desha County Rice Farm,USA,33.6216,-91.4306
US-RLS,RCEW Low Sagebrush,USA,43.1439,-116.7356
US-RMS,RCEW Mountain Big Sagebrush,USA,43.0645,-116.7486
US-RO1,Rosemount- G21,USA,44.7143,-93.0898
US-RO2,Rosemount- C7,USA,44.7288,-93.0888
US-RO3,Rosemount- G19,USA,44.7217,-93.0893
US-RO4,Rosemount Prairie,USA,44.6781,-93.0723
US-RO5,Rosemount I18_South,USA,44.6910,-93.0576
US-RO6,Rosemount I18_North,USA,44.6946,-93.0578
US-RPF,Poker Flat Research Range: Succession from fire scar to deciduous forest,USA,65.1198,-147.4290
US-RRC,Rice Rivers Center Marsh,USA,37.3344,-77.2065
US-RTS,Toolik Retrogressive Thaw Slump,USA,68.5273,-149.5492
US-RWE,RCEW Reynolds Mountain East,USA,43.0653,-116.7591
US-RWF,RCEW Upper Sheep Prescibed Fire,USA,43.1207,-116.7231
US-RWS,Reynolds Creek Wyoming big sagebrush,USA,43.1675,-116.7132
US-SAG,Sag River,USA,69.5131,-148.5676
US-SB1,Sweet Briar Land-Atmosphere Research Station,USA,37.5734,-79.0848
US-SB2,Sweet Briar Grass,USA,37.5607,-79.0883
US-SB3,Sweet Briar Clearcut,USA,37.5752,-79.0872
US-SBR,Seal Beach National Wildlife Refuge,USA,33.7340,-118.0672
US-SCC,Southern California Climate Gradient - Desert Chaparral,USA,33.6094,-116.4505
US-SCD,Southern California Climate Gradient - Sonoran Desert,USA,33.6518,-116.3721
US-SCF,Southern California Climate Gradient - Oak/Pine Forest,USA,33.8079,-116.7717
US-SCG,Southern California Climate Gradient - Grassland,USA,33.7365,-117.6946
US-SCS,Southern California Climate Gradient - Coastal Sage,USA,33.7343,-117.6959
US-SCW,Southern California Climate Gradient - Pinyon/Juniper Woodland,USA,33.6047,-116.4527
US-SD1,Shatto Ditch Paired Cropland - Site 1 (Corn/Soy; No Cover Crops),USA,41.2048,-86.0296
US-SD2,Shatto Ditch Paired Cropland - Site 2 (Corn/Soy; Cover Crops),USA,41.1785,-85.9977
US-SDH,Nebraska SandHills Dry Valley,USA,42.0693,-101.4072
US-SDU,South Denver Urban Tower,USA,39.6594,-105.0127
US-SEG,Sevilleta grassland,USA,34.3623,-106.7020
US-SES,Sevilleta shrubland,USA,34.3349,-106.7442
US-SFP,Sioux Falls Portable,USA,43.2408,-96.9020
US-SHC,Sagehen Creek Field Station,USA,39.4315,-120.2398
US-SHD,Shidler- Oklahoma,USA,36.9333,-96.6833
US-SHS,Secaucus High School Site,USA,40.8052,-74.0457
US-SI1,Staten Island Fallow,USA,38.1747,-121.5047
US-SI2,Staten Island Flooded,USA,38.1758,-121.5167
US-SJ1,San Joaquin (Freshwater Marsh Tower 1),USA,33.6623,-117.8514
US-SJ2,San Joaquin (Freshwater Marsh Tower 2),USA,33.6596,-117.8550
US-SKR,Shark River Slough (Tower SRS-6)  Everglades,USA,25.3629,-81.0776
US-SLT,Silas Little- New Jersey,USA,39.9138,-74.5960
US-SM1,Texas SmartFarm Project,USA,36.3934,-100.9537
US-SND,Sherman Island,USA,38.0366,-121.7540
US-SNE,Sherman Island Restored Wetland,USA,38.0369,-121.7547
US-SNF,Sherman Barn,USA,38.0402,-121.7272
US-SO2,Sky Oaks- Old Stand,USA,33.3738,-116.6228
US-SO3,Sky Oaks- Young Stand,USA,33.3771,-116.6226
US-SO4,Sky Oaks- New Stand,USA,33.3845,-116.6406
US-SP1,Slashpine-Austin Cary- 65yrs nat regen,USA,29.7381,-82.2188
US-SP2,"Slashpine-Mize-clearcut-3yr,regen",USA,29.7648,-82.2448
US-SP3,Slashpine-Donaldson-mid-rot- 12yrs,USA,29.7548,-82.1633
US-SP4,Slashpine-Rayonier-mid-rot- 12yrs,USA,29.8028,-82.2031
US-SRC,Santa Rita Creosote,USA,31.9083,-110.8395
US-SRG,Santa Rita Grassland,USA,31.7894,-110.8277
US-SRM,Santa Rita Mesquite,USA,31.8214,-110.8661
US-SRR,Suisun marsh - Rush Ranch,USA,38.2006,-122.0264
US-SRS,Santa Rita Savanna,USA,31.8173,-110.8508
US-SSH,Susquehanna Shale Hills Critical Zone Observatory,USA,40.6658,-77.9041
US-STA,Saratoga,USA,41.3966,-106.8024
US-STJ,St Jones Reserve,USA,39.0882,-75.4372
US-STS,Strawberry Swamp,USA,33.3302,-79.2492
US-SUM,Maui Sugarcane Middle,USA,20.7981,-156.4540
US-SUS,Maui Sugarcane Lee/Sheltered,USA,20.7847,-156.4039
US-SUW,Maui Sugarcane Windy,USA,20.8246,-156.4913
US-SVC,Savannah River Control,USA,33.3504,-81.6580
US-SVP,Savannah River Prescribe Fire,USA,33.3616,-81.6730
US-SX1,Santee Experimental Forest Longleaf Pine Clearcut,USA,33.1439,-79.7748
US-SX2,Santee Experimental Forest Longleaf Pine Thinned,USA,33.1404,-79.7718
US-SX3,Santee Experimental Forest Unmanaged HW-Pine,USA,33.1494,-79.7888
US-SYV,Sylvania Wilderness Area,USA,46.2420,-89.3477
US-SZ1,"St. John, WA On-farm site Zone 1",USA,47.1245,-117.5306
US-SZ2,"St. John, WA On-farm site Zone 2",USA,47.1226,-117.5271
US-SZ3,"St. John, WA On-farm site Zone 3",USA,47.1261,-117.5267
US-TAS,Taylor Slough/Panhandle,USA,25.1908,-80.6391
US-TCS,Tall Cypress Swamp,USA,25.8221,-81.1017
US-TEF,Tenderfoot Creek Experimental Forest,USA,46.9522,-110.8851
US-TFF,Thompson Farm Forest,USA,43.1084,-70.9523
US-TKS,Toolik Shrub Tundra,USA,68.6337,-149.5769
US-TLR,Timberlake Observatory for Wetland Restoration (TOWeR),USA,35.9168,-76.1463
US-TON,Tonzi Ranch,USA,38.4309,-120.9660
US-TRB,Trout Bog,USA,46.0412,-89.6862
US-TRS,Trout Lake Area South Sparkling Bog,USA,46.0034,-89.7053
US-TSM,"Port Arthur, TX Salt Marsh",USA,29.7711,-93.9924
US-TUR,Turner Ranch,USA,45.5571,-111.2286
US-TW1,Twitchell Wetland West Pond,USA,38.1074,-121.6469
US-TW2,Twitchell Corn,USA,38.0969,-121.6365
US-TW3,Twitchell Alfalfa,USA,38.1152,-121.6469
US-TW4,Twitchell East End Wetland,USA,38.1027,-121.6413
US-TW5,East Pond Wetland,USA,38.1072,-121.6426
US-TWT,Twitchell Island,USA,38.1087,-121.6531
US-TX1,Stiles Farm Prairie,USA,30.6176,-97.2938
US-TX2,Riesel Farm Native Prairie,USA,31.4802,-96.8827
US-TX3,Riesel Farm Aspirational Agriculture,USA,31.4777,-96.8883
US-TX4,Riesel Farm Traditional Agriculture,USA,31.4693,-96.8865
US-TX5,Texas A&M University Farm,USA,30.5328,-96.4252
US-TX6,La Copita Grassland - Savanna,USA,27.6666,-98.2089
US-TX7,La Copita Shrubland - Savanna,USA,27.6650,-98.2007
US-TX8,Danciger Lowland Hardwood Forest,USA,29.1659,-95.8290
US-TX9,Sargent Unit Salt Marsh,USA,28.7805,-95.6144
US-UAF,"University of Alaska, Fairbanks",USA,64.8663,-147.8555
US-UC1,LTAR UCB (Upper Chesapeake Bay) EC1,USA,40.7536,-78.0056
US-UC2,LTAR UCB (Upper Chesapeake Bay) EC2,USA,40.7559,-77.9998
US-UG1,East River Riparian,USA,38.9230,-106.9524
US-UIA,University of Illinois Switchgrass,USA,40.0646,-88.1961
US-UIB,University of Illinois Miscanthus,USA,40.0628,-88.1984
US-UIC,University of Illinois Maize-Soy,USA,40.0628,-88.1961
US-UID,University of Illinois Restored Native Prairie,USA,40.0646,-88.1985
US-UIE,University of Illinois Sorghum-Soy,USA,40.0629,-88.2033
US-UIF,University of Illinois Miscanthus 2,USA,40.0665,-88.2015
US-UIG,University of Illinois Maize-Soy 2,USA,40.0629,-88.2009
US-ULM,ULM Flux Tower,USA,32.4570,-91.9743
US-UM3,Douglas Lake,USA,45.5686,-84.6707
US-UMB,Univ. of Mich. Biological Station,USA,45.5598,-84.7138
US-UMD,UMBS Disturbance,USA,45.5625,-84.6975
US-UPA,Upad,USA,70.2815,-148.8848
US-UR0,Baggs - UCRB,USA,41.0438,-107.6800
US-UR1,Boulder - UCRB,USA,42.6830,-109.5440
US-UR2,Cora - UCRB,USA,42.9590,-110.0710
US-UR3,Ft. Bridger - UCRB,USA,41.2900,-110.4010
US-UR4,Gunnison - UCRB,USA,38.4369,-106.6392
US-UR5,La Plata - UCRB,USA,36.9236,-108.1943
US-UR6,Napi - UCRB,USA,36.5699,-108.1125
US-UR7,Olathe - UCRB,USA,38.6184,-108.0595
US-UR8,Yellow Jacket - UCRB,USA,37.5405,-108.7390
US-UR9,Farson - UCRB,USA,42.1643,-109.4620
US-UTB,UFLUX Bonneville Salt Flats,USA,40.7848,-113.8299
US-UTD,UFLUX Dugout Ranch,USA,38.1038,-109.5952
US-UTE,UFLUX Escalante,USA,37.7353,-111.5708
US-UTG,UFLUX Green River,USA,39.0188,-110.1663
US-UTJ,UFLUX Bluff,USA,37.2818,-109.5348
US-UTL,UFLUX Pelican Lake,USA,40.1877,-109.6579
US-UTM,UFLUX Matheson,USA,38.5879,-109.5775
US-UTN,UFLUX Nephi,USA,39.6896,-111.8814
US-UTP,UFLUX Great Salt Lake Phragmites,USA,41.0604,-112.1013
US-UTV,UFLUX Desert View,USA,40.1266,-109.9546
US-UTW,UFLUX Wellington,USA,39.4453,-110.7288
US-UUC,University of Utah Compass Minerals Flux,USA,41.2961,-112.3074
US-UUP,University of Utah Playa Flux,USA,41.0303,-112.1175
US-VAR,Vaira Ranch- Ione,USA,38.4133,-120.9508
US-VCM,Valles Caldera Mixed Conifer,USA,35.8884,-106.5321
US-VCP,Valles Caldera Ponderosa Pine,USA,35.8642,-106.5967
US-VCS,Valles Caldera Sulphur Springs Mixed Conifer,USA,35.9193,-106.6142
US-VFP,Virginia Coast Reserve Fowling Point,USA,37.4111,-75.8333
US-VT1,Vermillion Tributary Paired Cropland – Site 1 (Corn/Soy; No Cover Crops),USA,40.4064,-87.5214
US-VT2,Vermillion Tributary Paired Cropland – Site 2 (Corn/Soy; Cover Crops),USA,40.4018,-87.5213
US-WBW,Walker Branch Watershed,USA,35.9588,-84.2874
US-WCR,Willow Creek,USA,45.8059,-90.0799
US-WDN,Walden,USA,40.7838,-106.2618
US-WEP,West Edge Parking Lot,USA,43.1421,-70.9543
US-WGR,Willamette Grass,USA,45.1129,-122.6560
US-WHS,Walnut Gulch Lucky Hills Shrub,USA,31.7438,-110.0522
US-WI0,Young red pine (YRP),USA,46.6188,-91.0814
US-WI1,Intermediate hardwood (IHW),USA,46.7305,-91.2329
US-WI2,Intermediate red pine (IRP),USA,46.6869,-91.1528
US-WI3,Mature hardwood (MHW),USA,46.6347,-91.0987
US-WI4,Mature red pine (MRP),USA,46.7393,-91.1663
US-WI5,Mixed young jack pine (MYJP),USA,46.6531,-91.0858
US-WI6,Pine barrens #1 (PB1),USA,46.6249,-91.2982
US-WI7,Red pine clearcut (RPCC),USA,46.6491,-91.0693
US-WI8,Young hardwood clearcut (YHW),USA,46.7223,-91.2524
US-WI9,Young Jack pine (YJP),USA,46.7385,-91.0746
US-WJS,Willard Juniper Savannah,USA,34.4255,-105.8615
US-WKG,Walnut Gulch Kendall Grasslands,USA,31.7365,-109.9419
US-WLR,Walnut River Watershed (Smileyburg),USA,37.5208,-96.8550
US-WPP,Willamette Poplar,USA,44.1369,-123.1824
US-WPT,Winous Point North Marsh,USA,41.4646,-82.9962
US-WRC,Wind River Crane Site,USA,45.8205,-121.9519
US-WT1,"Kress, TX no-till cotton and grain sorghum production",USA,34.3674,-101.8154
US-WT2,Stratford CSI,USA,36.3393,-101.8290
US-WT3,Stratford LICOR,USA,36.3390,-101.8290
US-WWT,Willamette Wheat,USA,45.1089,-122.6664
US-XAB,NEON Abby Road (ABBY),USA,45.7624,-122.3303
US-XAE,NEON Klemme Range Research Station (OAES),USA,35.4106,-99.0588
US-XBA,NEON Barrow Environmental Observatory (BARR),USA,71.2824,-156.6194
US-XBL,NEON Blandy Experimental Farm (BLAN),USA,39.0603,-78.0716
US-XBN,NEON Caribou Creek - Poker Flats Watershed (BONA),USA,65.1540,-147.5026
US-XBR,NEON Bartlett Experimental Forest (BART),USA,44.0639,-71.2873
US-XCL,NEON LBJ National Grassland (CLBJ),USA,33.4012,-97.5700
US-XCP,NEON Central Plains Experimental Range (CPER),USA,40.8155,-104.7456
